,commitinfo,codeBlockId,unique,Revision,clonesets,codeBlock_start,codeBlock_end,nloc,codeBlock_fileinfo,codeCloneBlockId,change_type,codeBlock_start_diffs,codeBlock_end_diff,nloc_diff,status,disappearing_clone_diffs
19,b5a523f87afca3491f9137bc775277ef96cba982,51,R1CodeBlock51,1,3,52,63,9,NameSource.java,CodeBlock50,ModificationType.ADD,,new,new,new,disappearing_clone
1,b5a523f87afca3491f9137bc775277ef96cba982,10,R1CodeBlock10,1,1,113,128,76,ArUtils.java,CodeBlock11,ModificationType.ADD,,new,new,new,disappearing_clone
2,b5a523f87afca3491f9137bc775277ef96cba982,11,R1CodeBlock11,1,2,139,154,76,ArUtils.java,CodeBlock10,ModificationType.ADD,,new,new,new,disappearing_clone
3,b5a523f87afca3491f9137bc775277ef96cba982,16,R1CodeBlock16,1,17,22,31,9,Progress.java,CodeBlock17,ModificationType.ADD,,new,new,new,disappearing_clone
4,b5a523f87afca3491f9137bc775277ef96cba982,17,R1CodeBlock17,1,17,24,31,9,Progress.java,CodeBlock16,ModificationType.ADD,,new,new,new,disappearing_clone
5,b5a523f87afca3491f9137bc775277ef96cba982,19,R1CodeBlock19,1,8,48,54,23,JavaProperty.java,CodeBlock20,ModificationType.ADD,,new,new,new,disappearing_clone
6,b5a523f87afca3491f9137bc775277ef96cba982,20,R1CodeBlock20,1,49,72,78,23,JavaProperty.java,CodeBlock19,ModificationType.ADD,,new,new,new,disappearing_clone
7,b5a523f87afca3491f9137bc775277ef96cba982,21,R1CodeBlock21,1,45,44,63,9,OptionPane.java,CodeBlock22,ModificationType.ADD,,new,new,new,disappearing_clone
8,b5a523f87afca3491f9137bc775277ef96cba982,22,R1CodeBlock22,1,46,49,63,9,OptionPane.java,CodeBlock21,ModificationType.ADD,,new,new,new,disappearing_clone
40,b5a523f87afca3491f9137bc775277ef96cba982,89,R1CodeBlock89,1,18,1206,1223,2099,ParserTokenManager.java,CodeBlock91,ModificationType.ADD,,new,new,new,disappearing_clone
9,b5a523f87afca3491f9137bc775277ef96cba982,26,R1CodeBlock26,1,27,41,57,38,BSHIfStatement.java,CodeBlock33,ModificationType.ADD,,new,new,new,disappearing_clone
11,b5a523f87afca3491f9137bc775277ef96cba982,32,R1CodeBlock32,1,64,41,51,16,BSHStatementExpressionList.java,CodeBlock29,ModificationType.ADD,,new,new,new,disappearing_clone
12,b5a523f87afca3491f9137bc775277ef96cba982,33,R1CodeBlock33,1,67,46,58,16,BSHTernaryExpression.java,CodeBlock26,ModificationType.ADD,,new,new,new,disappearing_clone
13,b5a523f87afca3491f9137bc775277ef96cba982,41,R1CodeBlock41,1,47,10,24,33,ClassGenerator.java,CodeBlock107,ModificationType.ADD,,new,new,new,disappearing_clone
14,b5a523f87afca3491f9137bc775277ef96cba982,45,R1CodeBlock45,1,61,47,55,10,ConsoleInterface.java,CodeBlock47,ModificationType.ADD,,new,new,new,disappearing_clone
15,b5a523f87afca3491f9137bc775277ef96cba982,46,R1CodeBlock46,1,61,48,55,10,ConsoleInterface.java,CodeBlock48,ModificationType.ADD,,new,new,new,disappearing_clone
16,b5a523f87afca3491f9137bc775277ef96cba982,47,R1CodeBlock47,1,61,49,55,10,ConsoleInterface.java,CodeBlock48,ModificationType.ADD,,new,new,new,disappearing_clone
17,b5a523f87afca3491f9137bc775277ef96cba982,48,R1CodeBlock48,1,61,50,55,10,ConsoleInterface.java,CodeBlock47,ModificationType.ADD,,new,new,new,disappearing_clone
18,b5a523f87afca3491f9137bc775277ef96cba982,50,R1CodeBlock50,1,3,51,63,9,NameSource.java,CodeBlock51,ModificationType.ADD,,new,new,new,disappearing_clone
10,b5a523f87afca3491f9137bc775277ef96cba982,29,R1CodeBlock29,1,51,43,53,16,BSHReturnStatement.java,CodeBlock32,ModificationType.ADD,,new,new,new,disappearing_clone
168,b5a523f87afca3491f9137bc775277ef96cba982,364,R1CodeBlock364,1,16,1539,1547,1444,Native2ASCIIEncodingTest.java,CodeBlock365,ModificationType.ADD,,new,new,new,disappearing_clone
41,b5a523f87afca3491f9137bc775277ef96cba982,90,R1CodeBlock90,1,18,1224,1241,2099,ParserTokenManager.java,CodeBlock91,ModificationType.ADD,,new,new,new,disappearing_clone
43,b5a523f87afca3491f9137bc775277ef96cba982,107,R1CodeBlock107,1,48,53,68,27,ReflectManager.java,CodeBlock41,ModificationType.ADD,,new,new,new,disappearing_clone
66,b5a523f87afca3491f9137bc775277ef96cba982,187,R1CodeBlock187,1,23,67,71,59,IndentRuleFactory.java,CodeBlock190,ModificationType.ADD,,new,new,new,disappearing_clone
